DEPARTAMENTO,TOTAL_MUERTES,LONGITUD,LATITUD
RISARALDA,6594,-75.84413128571428,5.061128571428571
CALDAS,5919,-75.43753203703703,5.283081888888889
CUNDINAMARCA,11185,-74.18168068965517,4.818657043103448
CÓRDOBA,7784,-75.73223386666668,8.760054366666667
TOLIMA,8090,-75.04126246808511,4.3234209574468085
CAUCA,5633,-76.67424388095239,2.4978727380952384
ANTIOQUIA,34473,-75.560490104,6.543971464
"BOGOTÁ, D.C.",38760,-74.106992,4.649251
NARIÑO,7837,-77.5707846875,1.40051453125
ATLÁNTICO,14804,-74.90365273913044,10.698520565217391
NORTE DE SANTANDER,8292,-72.82206690000001,7.852622675000001
VALLE DEL CAUCA,28443,-76.23714511904761,4.111430214285714
HUILA,6165,-75.65912897297298,2.431761351351351
LA GUAJIRA,2629,-72.80370573333333,11.048833933333333
CESAR,5368,-73.54132032000001,9.30460544
BOLÍVAR,8915,-74.64947734782609,9.34892006521739
SUCRE,4280,-75.20866446153846,9.19553176923077
SANTANDER,11894,-73.2616176091954,6.554151574712644
MAGDALENA,5095,-74.48200026666667,10.1258022
CASANARE,1405,-72.30451342105262,5.378863052631579
ARAUCA,1164,-71.26826085714286,6.698437857142857
CAQUETÁ,1626,-75.4927809375,1.3977204375
META,4911,-73.48700651724138,3.672573103448276
BOYACÁ,6052,-73.2084771707317,5.666554512195122
"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",239,-81.5377835,12.9756465
QUINDÍO,3948,-75.70129933333332,4.493633833333333
CHOCÓ,1210,-76.8244894516129,5.800945580645162
GUAVIARE,241,-72.46804275,2.0486542500000002
VAUPÉS,87,-70.356489,0.7070411666666666
PUTUMAYO,819,-76.61757376923077,0.7912432307692309
AMAZONAS,190,-71.454173,-1.8170710909090908
VICHADA,188,-69.6381605,5.3139225
GUAINÍA,115,-68.20920112499999,2.661163625
